# 主要大型株ユニバース（東証プライム大型、2026年時点。全69銘柄。code は Yahoo Finance で実在・社名を検証済み）
# screen.py / market_breadth.py / relative_strength.py / pairs_screen.py / overnight_forecast.py の --universe に渡せる（列: code,name,sector）。
code,name,sector
7203,トヨタ自動車,輸送用機器
7267,本田技研工業,輸送用機器
7269,スズキ,輸送用機器
7270,SUBARU,輸送用機器
6902,デンソー,輸送用機器
7201,日産自動車,輸送用機器
6758,ソニーグループ,電気機器
6861,キーエンス,電気機器
8035,東京エレクトロン,電気機器
6501,日立製作所,電気機器
6981,村田製作所,電気機器
6594,ニデック,電気機器
7751,キヤノン,電気機器
6752,パナソニックホールディングス,電気機器
6503,三菱電機,電気機器
6702,富士通,電気機器
6857,アドバンテスト,電気機器
6971,京セラ,電気機器
9984,ソフトバンクグループ,情報・通信業
9432,日本電信電話,情報・通信業
9433,KDDI,情報・通信業
9434,ソフトバンク,情報・通信業
8306,三菱UFJフィナンシャル・グループ,銀行業
8316,三井住友フィナンシャルグループ,銀行業
8411,みずほフィナンシャルグループ,銀行業
8766,東京海上ホールディングス,保険業
8591,オリックス,その他金融業
8058,三菱商事,卸売業
8031,三井物産,卸売業
8001,伊藤忠商事,卸売業
8053,住友商事,卸売業
2768,双日,卸売業
4063,信越化学工業,化学
4901,富士フイルムホールディングス,化学
3407,旭化成,化学
4188,三菱ケミカルグループ,化学
4502,武田薬品工業,医薬品
4568,第一三共,医薬品
4519,中外製薬,医薬品
4523,エーザイ,医薬品
6098,リクルートホールディングス,サービス業
4661,オリエンタルランド,サービス業
9983,ファーストリテイリング,小売業
3382,セブン&アイ・ホールディングス,小売業
8267,イオン,小売業
2914,日本たばこ産業,食料品
2802,味の素,食料品
6367,ダイキン工業,機械
6301,コマツ,機械
6273,SMC,機械
7011,三菱重工業,機械
6146,ディスコ,機械
7974,任天堂,その他製品
7741,HOYA,精密機器
4543,テルモ,精密機器
6645,オムロン,電気機器
5108,ブリヂストン,ゴム製品
5401,日本製鉄,鉄鋼
5713,住友金属鉱山,非鉄金属
9022,東海旅客鉄道,陸運業
9020,東日本旅客鉄道,陸運業
9101,日本郵船,海運業
8802,三菱地所,不動産業
8801,三井不動産,不動産業
1605,INPEX,鉱業
5020,ENEOSホールディングス,石油・石炭製品
9503,関西電力,電気・ガス業
9501,東京電力ホールディングス,電気・ガス業
2502,アサヒグループホールディングス,食料品
