# 主要流動銘柄30（2025年時点の東証プライム大型・高流動性銘柄。TOPIX Core30 相当を中心に選定）
code,name,sector
7203,トヨタ自動車,輸送用機器
6758,ソニーグループ,電気機器
9984,ソフトバンクグループ,情報・通信業
8306,三菱UFJフィナンシャル・グループ,銀行業
6861,キーエンス,電気機器
9983,ファーストリテイリング,小売業
8035,東京エレクトロン,電気機器
4063,信越化学工業,化学
9432,日本電信電話,情報・通信業
9433,KDDI,情報・通信業
6098,リクルートホールディングス,サービス業
8058,三菱商事,卸売業
8001,伊藤忠商事,卸売業
8031,三井物産,卸売業
7974,任天堂,その他製品
6501,日立製作所,電気機器
6902,デンソー,輸送用機器
7267,本田技研工業,輸送用機器
4568,第一三共,医薬品
4502,武田薬品工業,医薬品
6367,ダイキン工業,機械
6954,ファナック,電気機器
6594,ニデック,電気機器
8766,東京海上ホールディングス,保険業
8411,みずほフィナンシャルグループ,銀行業
8316,三井住友フィナンシャルグループ,銀行業
4519,中外製薬,医薬品
6273,SMC,機械
9101,日本郵船,海運業
7011,三菱重工業,機械
