forecast_id,made_on,asof_date,target_date,code,name,data,direction,prob_up,pred_return,asof_close,pred_low,pred_high,confidence,s_trend,s_momentum,s_meanrev,score,status,graded_on,actual_date,actual_close,actual_return,dir_hit,in_range,abs_error,brier
2026-07-23:4063,2026-07-23,2026-07-23,2026-07-24,4063,信越化学工業,real,flat,0.487674,-0.001008,6970.0,6678.4761,7247.4726,0.032877,0.0,-0.133537,0.102691,-0.032877,graded,2026-07-24,2026-07-24,6642.0,-0.047059,False,False,0.046051,0.237826
2026-07-23:4419,2026-07-23,2026-07-23,2026-07-24,4419,Finatext,real,up,0.760179,0.028835,1571.0,1532.5274,1700.0706,0.769109,1.0,1.0,-0.154454,0.769109,graded,2026-07-24,2026-07-24,1510.0,-0.038829,False,False,0.067664,0.577872
2026-07-23:4502,2026-07-23,2026-07-23,2026-07-24,4502,武田薬品工業,real,up,0.754625,0.009875,5505.0,5449.9328,5668.7909,0.748957,1.0,1.0,-0.255215,0.748957,graded,2026-07-24,2026-07-24,5636.0,0.023797,True,True,0.013922,0.060209
2026-07-23:4519,2026-07-23,2026-07-23,2026-07-24,4519,中外製薬,real,down,0.315446,-0.009533,7212.0,6948.0217,7338.4675,0.51652,-1.0,-0.360859,0.139118,-0.51652,graded,2026-07-24,2026-07-24,7498.0,0.039656,False,False,0.049189,0.468614
2026-07-23:4568,2026-07-23,2026-07-23,2026-07-24,4568,第一三共,real,up,0.635183,0.006119,2755.0,2699.8672,2843.8484,0.369678,0.0,1.0,-0.151611,0.369678,graded,2026-07-24,2026-07-24,2809.5,0.019782,True,True,0.013663,0.133091
2026-07-23:6098,2026-07-23,2026-07-23,2026-07-24,6098,リクルートホールディングス,real,up,0.757867,0.014765,12355.0,12131.3523,12943.4876,0.760681,1.0,1.0,-0.196597,0.760681,graded,2026-07-24,2026-07-24,12010.0,-0.027924,False,False,0.042689,0.574362
2026-07-23:6273,2026-07-23,2026-07-23,2026-07-24,6273,SMC,real,up,0.691557,0.018109,72960.0,71108.8775,77453.5325,0.538272,1.0,0.368242,-0.045125,0.538272,graded,2026-07-24,2026-07-24,70780.0,-0.029879,False,False,0.047988,0.478251
2026-07-23:6367,2026-07-23,2026-07-23,2026-07-24,6367,ダイキン工業,real,up,0.583695,0.002691,24115.0,23628.6388,24731.1418,0.225308,0.0,0.498157,0.130227,0.225308,graded,2026-07-24,2026-07-24,23975.0,-0.005806,False,True,0.008497,0.3407
2026-07-23:6501,2026-07-23,2026-07-23,2026-07-24,6501,日立製作所,real,up,0.550854,0.002752,4854.0,4722.7425,5011.9752,0.136082,0.0,0.384182,-0.087955,0.136082,graded,2026-07-24,2026-07-24,4858.0,0.000824,True,True,0.001928,0.201732
2026-07-23:6594,2026-07-23,2026-07-23,2026-07-24,6594,ニデック,real,down,0.416079,-0.005877,2556.0,2438.132,2643.825,0.225927,0.0,-0.606414,0.083193,-0.225927,graded,2026-07-24,2026-07-24,2525.0,-0.012128,True,True,0.006251,0.173122
2026-07-23:6758,2026-07-23,2026-07-23,2026-07-24,6758,ソニーグループ,real,up,0.630429,0.005051,3445.0,3376.5627,3548.2387,0.35604,0.0,0.945709,-0.111219,0.35604,graded,2026-07-24,2026-07-24,3424.0,-0.006096,False,True,0.011147,0.397441
2026-07-23:6861,2026-07-23,2026-07-23,2026-07-24,6861,キーエンス,real,down,0.425459,-0.004398,72260.0,69533.6497,74350.7838,0.200269,0.0,-0.595707,0.190071,-0.200269,graded,2026-07-24,2026-07-24,71620.0,-0.008857,True,True,0.004459,0.181015
2026-07-23:6902,2026-07-23,2026-07-23,2026-07-24,6902,デンソー,real,up,0.755779,0.008742,1993.0,1973.8766,2046.9697,0.753116,1.0,1.0,-0.234418,0.753116,graded,2026-07-24,2026-07-24,1971.0,-0.011039,False,False,0.019781,0.571202
2026-07-23:6954,2026-07-23,2026-07-23,2026-07-24,6954,ファナック,real,down,0.444335,-0.004742,6938.0,6576.4473,7233.7499,0.149058,0.0,-0.404791,0.064291,-0.149058,graded,2026-07-24,2026-07-24,6607.0,-0.047708,True,True,0.042966,0.197434
2026-07-23:7011,2026-07-23,2026-07-23,2026-07-24,7011,三菱重工業,real,flat,0.548801,0.003862,3930.0,3799.6724,4090.6823,0.130552,0.0,0.377648,-0.102536,0.130552,graded,2026-07-24,2026-07-24,3946.0,0.004071,True,True,0.000209,0.203581
2026-07-23:7203,2026-07-23,2026-07-23,2026-07-24,7203,トヨタ自動車,real,up,0.632116,0.005293,2950.0,2903.521,3027.7078,0.36087,0.0,1.0,-0.19565,0.36087,graded,2026-07-24,2026-07-24,2902.0,-0.016271,False,False,0.021564,0.399571
2026-07-23:7267,2026-07-23,2026-07-23,2026-07-24,7267,本田技研工業,real,up,0.754634,0.013395,1566.5,1549.6192,1625.3464,0.748989,1.0,1.0,-0.255054,0.748989,graded,2026-07-24,2026-07-24,1542.0,-0.01564,False,False,0.029035,0.569472
2026-07-23:7974,2026-07-23,2026-07-23,2026-07-24,7974,任天堂,real,down,0.388579,-0.006686,7001.0,6741.5022,7166.8778,0.302192,-1.0,0.210731,0.067576,-0.302192,graded,2026-07-24,2026-07-24,7004.0,0.000429,False,True,0.007115,0.373836
2026-07-23:8001,2026-07-23,2026-07-23,2026-07-24,8001,伊藤忠商事,real,up,0.625201,0.003301,1971.0,1939.4652,2015.5478,0.341121,0.0,1.0,-0.294394,0.341121,graded,2026-07-24,2026-07-24,1962.5,-0.004313,False,True,0.007614,0.390876
2026-07-23:8031,2026-07-23,2026-07-23,2026-07-24,8031,三井物産,real,up,0.631372,0.006367,4970.0,4871.9496,5131.3398,0.358738,0.0,1.0,-0.206308,0.358738,graded,2026-07-24,2026-07-24,4976.0,0.001207,True,True,0.00516,0.135887
2026-07-23:8035,2026-07-23,2026-07-23,2026-07-24,8035,東京エレクトロン,real,flat,0.461331,-0.00429,65950.0,61416.8303,69917.2614,0.103324,0.0,-0.304301,0.091984,-0.103324,graded,2026-07-24,2026-07-24,61520.0,-0.067172,False,True,0.062882,0.212826
2026-07-23:8058,2026-07-23,2026-07-23,2026-07-24,8058,三菱商事,real,up,0.621008,0.006404,4916.0,4807.3546,5087.6056,0.329218,0.0,0.979566,-0.313042,0.329218,graded,2026-07-24,2026-07-24,4948.0,0.006509,True,True,0.000105,0.143635
2026-07-23:8306,2026-07-23,2026-07-23,2026-07-24,8306,三菱UFJフィナンシャル・グループ,real,up,0.74718,0.012973,3750.0,3696.8494,3900.4481,0.722418,1.0,1.0,-0.387908,0.722418,graded,2026-07-24,2026-07-24,3742.0,-0.002133,False,True,0.015106,0.558278
2026-07-23:8316,2026-07-23,2026-07-23,2026-07-24,8316,三井住友フィナンシャルグループ,real,up,0.750493,0.012109,7167.0,7063.0595,7444.514,0.734161,1.0,1.0,-0.329196,0.734161,graded,2026-07-24,2026-07-24,7128.0,-0.005442,False,True,0.017551,0.56324
2026-07-23:8411,2026-07-23,2026-07-23,2026-07-24,8411,みずほフィナンシャルグループ,real,up,0.752565,0.016214,8766.0,8628.2439,9188.0139,0.741558,1.0,1.0,-0.29221,0.741558,graded,2026-07-24,2026-07-24,8653.0,-0.012891,False,True,0.029105,0.566354
2026-07-23:8766,2026-07-23,2026-07-23,2026-07-24,8766,東京海上ホールディングス,real,up,0.75524,0.018139,7958.0,7901.4138,8303.2827,0.751173,1.0,1.0,-0.244134,0.751173,graded,2026-07-24,2026-07-24,8120.0,0.020357,True,True,0.002218,0.059907
2026-07-23:9101,2026-07-23,2026-07-23,2026-07-24,9101,日本郵船,real,up,0.62408,0.006319,5817.0,5716.9556,5990.5568,0.337934,0.0,1.0,-0.310329,0.337934,graded,2026-07-24,2026-07-24,5953.0,0.02338,True,True,0.017061,0.141316
2026-07-23:9432,2026-07-23,2026-07-23,2026-07-24,9432,日本電信電話,real,up,0.604893,0.002704,149.7,147.9321,152.2775,0.283931,0.0,0.744384,-0.069113,0.283931,graded,2026-07-24,2026-07-24,151.1,0.009352,True,True,0.006648,0.15611
2026-07-23:9433,2026-07-23,2026-07-23,2026-07-24,9433,KDDI,real,up,0.752786,0.008831,2870.5,2837.8094,2953.8903,0.742352,1.0,1.0,-0.288238,0.742352,graded,2026-07-24,2026-07-24,2909.0,0.013412,True,True,0.004581,0.061115
2026-07-23:9983,2026-07-23,2026-07-23,2026-07-24,9983,ファーストリテイリング,real,down,0.424632,-0.003963,77090.0,74284.0365,79284.9423,0.202526,0.0,-0.623629,0.234629,-0.202526,graded,2026-07-24,2026-07-24,76790.0,-0.003892,True,True,7.1e-05,0.180312
2026-07-23:9984,2026-07-23,2026-07-23,2026-07-24,9984,ソフトバンクグループ,real,down,0.443821,-0.008352,5918.0,5398.2708,6338.8802,0.150445,0.0,-0.414591,0.076955,-0.150445,graded,2026-07-24,2026-07-24,5502.0,-0.070294,True,True,0.061942,0.196977
